,id,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction,full_name
1494,1035,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,2018-12-31,94.9999999999998,Average,Somewhat safe,Somewhat satsified,Cheryl Rivard
1495,2456,Friday,UNITED,DENVER,West US,    Hub,Gates 70-90,2018-12-31,86.0,Average,Neutral,Neutral,Curtis Velazquez
1496,3118,Sunday,ALASKA,NEWARK,East US,Hub,Gates 50-59,2018-12-31,94.9999999999998,Average,Neutral,Somewhat unsatisfied,Bernice Phillips
1497,2629,Tuesday,JETBLUE,NEW YORK-JFK,East US,Hub,Gates 1-12,2018-12-31,90.0,Average,Very safe,Somewhat satsified,Rachel Miller
1498,393,Friday,ALASKA,INDIANAPOLIS,Midwest US,Medium,Gates 50-59,2018-12-31,160.0,Somewhat clean,Very safe,Somewhat satsified,Dr. Robert Spurlin
1499,1889,Wednesday,SINGAPORE AIRLINES,SINGAPORE,Asia,Hub,Gates 91-102,2018-12-31,120.0,Clean,Very safe,Somewhat satsified,Miss Eileen Deiss
1500,1235,Thursday,CHINA EASTERN,SHANGHAI,Asia,    Hub,Gates 1-12,2018-12-31,130.0,Clean,Somewhat safe,Neutral,Douglas Grantham
1501,2061,Friday,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,120.0,Somewhat clean,Somewhat safe,Very satisfied,Ms. Margaret Lewis
1502,2907,Thursday,DELTA,SEATTLE,West US,Hub,Gates 40-48,2018-12-31,90.0,Clean,Very safe,Somewhat satsified,Bryan Goldberg
1504,438,Sunday,UNITED,INDIANAPOLIS,Midwest US,Medium,Gates 60-69,2018-12-31,82.9999999999999,Somewhat clean,Somewhat safe,Somewhat satsified,Daniel Sloss
1505,580,Thursday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,2018-12-31,50.0,Clean,Very safe,Somewhat satsified,Miss Joanne Prasad
1506,1892,Wednesday,SINGAPORE AIRLINES,SINGAPORE,Asia,Hub,Gates 91-102,2018-12-31,165.0,Clean,Somewhat safe,Somewhat satsified,Vivian Watson
1507,491,Sunday,UNITED,DENVER,West US,Hub,Gates 70-90,2018-12-31,246.0,Average,Very safe,Somewhat satsified,Dr. Sammie Smith
1508,3192,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,2018-12-31,135.0,Somewhat clean,Very safe,Somewhat satsified,Elizabeth Aleo
1509,1579,Wednesday,UNITED INTL,HONG KONG,Asia,Hub     ,Gates 91-102,2018-12-31,180.0,Somewhat clean,Very safe,Somewhat satsified,Mr. David Verrill
1510,1175,Thursday,DELTA,NEW YORK-JFK,East US,Hub,Gates 40-48,2018-12-31,140.0,Clean,Very safe,Somewhat satsified,Mark Hamilton
1511,1600,Wednesday,SINGAPORE AIRLINES,SINGAPORE,Asia,Hub,Gates 91-102,2018-12-31,210.0,Somewhat clean,Somewhat safe,Neutral,Ms. Janet Appling
1512,1904,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,2018-12-31,115.0,Somewhat clean,Neutral,Somewhat satsified,Dr. David Lloyd
1513,1151,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,2018-12-31,60.00000000000011,Clean,Very safe,Very satisfied,Daniel Brandon
1514,1895,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,2018-12-31,175.0,Somewhat clean,Very safe,Somewhat satsified,Michele Cormier
1515,2433,Tuesday,UNITED,HONOLULU,West US,Medium,Gates 70-90,2018-12-31,55.0,Clean,Very safe,Very satisfied,Dr. Angela Ansbro
1516,2706,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,105.0,Clean,Somewhat safe,Somewhat satsified,Miss Helena Boysen
1517,1832,Sunday,ALASKA,RALEIGH-DURHAM,East US,Medium,Gates 50-59,2018-12-31,130.0,Clean,Very safe,Very satisfied,Dr. Hector Muhammad
1519,1645,Saturday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,2018-12-31,170.0,Somewhat clean,Somewhat safe,Somewhat satsified,Mr. William Daniel
1520,2993,Thursday,UNITED,BALTIMORE,East US,Medium,Gates 70-90,2018-12-31,104.0,Somewhat dirty,Somewhat safe,Neutral,Mr. Jerry Johnson
1521,1433,Saturday,UNITED,PORTLAND,West US,Medium,Gates 70-90,2018-12-31,160.0,Somewhat clean,Very safe,Somewhat satsified,Miss Carla Degeyter
1522,3057,Sunday,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,2018-01-01,335.0,Somewhat clean,Somewhat safe,Somewhat satsified,Ms. Mary Wilks
1523,2928,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,2018-12-31,315.0,Somewhat clean,Neutral,Somewhat satsified,Dr. Scott Thomas
1524,3134,Sunday,ALASKA,NEWARK,East US,Hub,Gates 50-59,2018-12-31,215.0,Clean,Very safe,Very satisfied,Miss Pearl Kuykendall
1525,2889,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,2018-12-31,64.9999999999999,Somewhat clean,Somewhat safe,Somewhat satsified,Dr. Frank Oliver
1526,2973,Wednesday,AMERICAN,CHARLOTTE,East US,Hub,Gates 50-59,2018-12-31,120.0,Somewhat clean,Very safe,Somewhat satsified,Gay Carmen
1527,2197,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,2018-12-31,210.0,Average,Very safe,Somewhat satsified,Mr. Adam Quintana
1528,1703,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,150.0,Clean,Very safe,Very satisfied,Douglas Byrne
1529,385,Friday,ALASKA,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,145.0,Somewhat clean,Somewhat safe,Somewhat satsified,Mr. James Jordan
1530,872,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,    Hub,Gates 50-59,2018-12-31,985.0,Average,Neutral,Neutral,Miss Donna Pickard
1531,593,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,102.0,Clean,Somewhat safe,Very satisfied,Danny Montgomery
1532,2225,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,2018-12-31,300.0,Somewhat clean,Somewhat safe,Neutral,Dr. Eric Goodrow
1533,3083,Sunday,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,2018-01-01,185.0,Somewhat clean,Somewhat safe,Somewhat satsified,Miss Geneva Fowler
1534,1357,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub,Gates 91-102,2018-12-31,185.0,Clean,Very safe,Very satisfied,Miss Shana Olszewski
1535,610,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,162.0,Somewhat clean,Very safe,Somewhat satsified,Mr. Antonio Anthony
1536,1062,Friday,AIR CANADA,CALGARY,Canada/Mexico,Medium,Gates 91-102,2018-12-31,325.0,Somewhat clean,Very safe,Somewhat satsified,Dr. Helen Bowles
1537,1901,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,2018-12-31,235.0,Clean,Somewhat safe,Somewhat satsified,Dr. Richard Naiman
1538,1488,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,2018-01-01,179.0,Clean,Somewhat safe,Somewhat satsified,Dr. Richard Peacock
1539,1102,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,2018-12-31,150.0,Somewhat clean,Somewhat safe,Somewhat satsified,Sandra Newton
1540,1578,Wednesday,DELTA,DETROIT,Midwest US,Large,Gates 40-48,2018-12-31,115.0,Clean,Neutral,Very satisfied,Miss Betsy Mendoza
1541,757,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,115.0,Clean,Very safe,Neutral,Mr. Raymond Swayne
1542,1774,Thursday,AMERICAN,CHICAGO-O'HARE,Midwest US,Hub,Gates 50-59,2018-12-31,145.0,Clean,Very safe,Very satisfied,Ms. Christy Quella
1544,1979,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,185.0,Somewhat clean,Very safe,Somewhat satsified,Ms. Mary Hinkle
1545,2144,Wednesday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,2018-12-31,125.0,Average,Neutral,Neutral,Mr. Peter Armstrong
1546,279,Thursday,UNITED,BALTIMORE,EAST US,Medium     ,Gates 70-90,2018-12-31,644.0,Somewhat clean,Very safe,Somewhat satsified,Ms. Giovanna Shoaff
1547,2388,Wednesday,UNITED INTL,SYDNEY,Australia/New Zealand,Hub,Gates 91-102,2018-12-31,125.0,Somewhat clean,Somewhat safe,Neutral,Dr. Juanita Marshall
1548,2858,Tuesday,UNITED,SEATTLE,West US,Hub,Gates 70-90,2018-12-31,57.0,Average,Somewhat safe,Neutral,Mr. Hipolito Drennan
1549,3072,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,2018-12-31,342.0,Somewhat clean,Very safe,Somewhat satsified,Patrick Hines
1550,1331,Tuesday,UNITED INTL,KANSAI,Asia,Hub,Gates 91-102,2018-12-31,50.00000000000011,Somewhat clean,Neutral,Somewhat satsified,Timothy Serrano
1551,652,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,2018-12-31,185.0,Clean,Very safe,Very satisfied,Douglas Cantu
1552,2286,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,2018-12-31,165.0,Somewhat clean,Somewhat safe,Neutral,Pamela Chaidez
1553,268,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,175.0,Somewhat clean,Very safe,Somewhat satsified,Cathy Lake
1554,3158,Thursday,DELTA,SALT LAKE CITY,West US,    Medium,Gates 40-48,2018-12-31,45.0,Average,Somewhat safe,Neutral,Mr. James Epps
1555,3096,Sunday,ALASKA,NEWARK,East US,Hub,Gates 50-59,2018-12-31,245.0,Somewhat clean,Very safe,Somewhat satsified,Dr. Jennifer Smith
1556,1790,Saturday,UNITED,RALEIGH-DURHAM,East US,Medium,Gates 70-90,2018-12-31,110.0,Somewhat clean,Very safe,Somewhat satsified,Agnes Tanner
1557,2876,Friday,EVA AIR,TAIPEI,Asia,Hub,Gates 91-102,2018-12-31,300.0,Somewhat clean,Very safe,Somewhat satsified,Bradley Fernandez
1558,1114,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,2018-12-31,90.0,Somewhat clean,Somewhat safe,Somewhat satsified,Sondra Miller
1559,1398,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub,Gates 91-102,2018-12-31,100.0,Clean,Very safe,Neutral,Ms. Crystal Bradley
1560,3201,Tuesday,UNITED,ONTARIO (CALIF),West US,Small     ,Gates 70-90,2018-12-31,95.0,Clean,Somewhat safe,Somewhat satsified,Levi Worth
1561,2791,Sunday,WOW,REYKJAVIK,Europe,Small,Gates 1-12,2018-12-31,145.0,Somewhat clean,Somewhat safe,Somewhat satsified,Dr. Irene Kiani
1563,655,Friday,UNITED INTL,MUNICH,Europe,Hub,Gates 91-102,2018-12-31,445.0,Somewhat clean,Very safe,Somewhat satsified,Miss Cynthia Guardado
1564,1536,Wednesday,AIR CHINA,BEIJING,Asia,Hub     ,Gates 91-102,2018-12-31,170.0,Somewhat clean,Neutral,Neutral,Miss Susan Jenkins
1565,2563,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,180.0,Somewhat clean,Very safe,Somewhat satsified,Olive Escoto
1566,2787,Thursday,DELTA,ATLANTA,East US,Hub,Gates 40-48,2018-12-31,165.0,Somewhat clean,Very safe,Somewhat satsified,Miss Sherry Acosta
1567,1727,Monday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,100.0,Somewhat dirty,Neutral,Neutral,Dr. Francine Clevenger
1568,2782,Thursday,DELTA,ATLANTA,East US,Hub,Gates 40-48,2018-12-31,135.0,Somewhat clean,Very safe,Neutral,Mr. Jasper Morse
1569,1044,Friday,AIR CANADA,CALGARY,Canada/Mexico,    Medium,Gates 91-102,2018-12-31,355.0,Clean,Very safe,Very satisfied,Robert Banner
1571,672,Thursday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,125.0,Average,Somewhat safe,Neutral,Dr. Sandy Victor
1572,1856,Sunday,ALASKA,KAHULUI,West US,Small,Gates 50-59,2018-12-31,70.0000000000001,Somewhat clean,Very safe,Somewhat satsified,Ms. Kimberly Fields
1574,596,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,87.0,Clean,Very safe,Very satisfied,Dr. Wayne Heil
1576,2168,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,2018-12-31,213.0,Clean,Very safe,Very satisfied,Tina Jones
1578,871,Tuesday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,2018-12-31,325.0,Clean,Very safe,Somewhat satsified,Christina Marshall
1579,2880,Friday,EVA AIR,TAIPEI,Asia,Hub,Gates 91-102,2018-12-31,120.0,Somewhat clean,Very safe,Somewhat satsified,Roosevelt Shepherd
1580,2228,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,2018-12-31,225.0,Somewhat clean,Very safe,Somewhat satsified,Miss Mary Salazar
1581,3044,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,2018-12-31,190.0,Average,Somewhat safe,Neutral,Paul Crafford
1582,1860,Tuesday,UNITED,LOS ANGELES,West US,Hub,Gates 60-69,2018-12-31,84.9999999999999,Average,Somewhat safe,Neutral,Mr. Johnny Orange
1583,1945,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,2018-12-31,145.0,Somewhat clean,Very safe,Somewhat satsified,Dr. Richard Whitney
1584,2573,Saturday,INTERJET,GUADALAJARA,Canada/Mexico,    Medium,Gates 1-12,2018-12-31,105.0,Clean,Very safe,Very satisfied,William Kozak
1585,2238,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,2018-12-31,195.0,Somewhat clean,Neutral,Neutral,Rosemary Ashley
1586,2786,Sunday,WOW,REYKJAVIK,Europe,Small,Gates 1-12,2018-12-31,265.0,Somewhat clean,Somewhat safe,Somewhat satsified,Miss Jaime Bleakley
1587,2148,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,2018-12-31,115.0,Somewhat clean,Somewhat safe,Somewhat satsified,Victor English
1589,2335,Thursday,AMERICAN,CHICAGO-O'HARE,Midwest US,Hub,Gates 50-59,2018-12-31,119.0,Clean,Somewhat safe,Very satisfied,Dr. Donald Meek
1590,318,Thursday,UNITED,BURBANK,West US,Small     ,Gates 70-90,2018-12-31,250.0,Somewhat clean,Somewhat safe,Somewhat satsified,Mr. Gary Sykes
1591,674,Thursday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,115.0,Clean,Somewhat safe,Neutral,Miss Gladys Williamson
1592,495,Sunday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,2018-12-31,118.0,Clean,Very safe,Very satisfied,Ray Lightner
1593,3233,Thursday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,2018-12-31,220.0,Clean,Very safe,Somewhat satsified,Miss Cheryl Potter
1594,1941,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,155.0,Average,Somewhat safe,Neutral,Dr. Martha Lopez
1595,1025,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,    Medium,Gates 91-102,2018-12-31,155.0,Somewhat clean,Somewhat safe,Neutral,Sandra Miller
1596,2968,Wednesday,AMERICAN,CHARLOTTE,East US,Hub,Gates 50-59,2018-12-31,60.00000000000011,Somewhat clean,Very unsafe,Very satisfied,Dr. Marc Despard
1597,3185,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,2018-12-31,59.99999999999989,Somewhat clean,Very safe,Somewhat satsified,Aaron Fortin
1598,3222,Thursday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,2018-12-31,130.0,Somewhat clean,Very safe,Somewhat satsified,Mr. Ivan Glenn
1600,1684,Saturday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,275.0,Clean,Somewhat safe,Very satisfied,Dr. Stephanie West
1601,849,Tuesday,ALASKA,PORTLAND,West US,Medium     ,Gates 50-59,2018-12-31,112.0,Somewhat clean,Very safe,Somewhat satsified,Lillian Brownlee
1602,9001,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,2018-12-31,135.0,Average,Very safe,Neutral,Ms. Josephine Soto
1603,765,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,130.0,Clean,Very safe,Somewhat satsified,Dr. Jorge Bayer
1604,2808,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,2018-12-31,190.0,Somewhat clean,Very safe,Somewhat satsified,Dr. Dane Connor
1605,2908,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,2018-12-31,165.0,Average,Neutral,Neutral,Mr. Isaac Sizer
1607,612,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,192.0,Clean,Very safe,Somewhat satsified,Latoya Wagner
1608,2127,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,2018-12-31,153.0,Somewhat clean,Somewhat unsafe,Somewhat satsified,Brian Kelleher
1609,1608,Thursday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,2018-12-31,230.0,Somewhat clean,Very safe,Very satisfied,Miss Scarlet Johnson
1610,2800,Thursday,DELTA,SALT LAKE CITY,West US,Medium,Gates 40-48,2018-12-31,155.0,Somewhat clean,Somewhat safe,Neutral,Corinne Farley
1612,666,Friday,UNITED INTL,MUNICH,Europe,Hub,Gates 91-102,2018-12-31,235.0,Somewhat clean,Somewhat safe,Somewhat satsified,Lucy Waits
1613,768,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,2018-12-31,150.0,Clean,Very safe,Very satisfied,Miss Patricia Mccullough
1614,3126,Sunday,ALASKA,NEWARK,East US,Hub,Gates 50-59,2018-12-31,71.9999999999999,Somewhat clean,Somewhat safe,Somewhat satsified,Edward Lockley
1615,2011,Friday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,125.0,Clean,Somewhat safe,Very satisfied,Dr. Daniel Malone
1616,12,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,2018-12-31,80.0,Average,Somewhat safe,Neutral,Jennifer Bell
1618,905,Tuesday,ALASKA,RALEIGH-DURHAM,East US,Medium,Gates 50-59,2018-12-31,130.0,Somewhat clean,Very safe,Somewhat satsified,Mr. Robert Schrader
1619,903,Tuesday,ALASKA,RALEIGH-DURHAM,East US,Medium,Gates 50-59,2018-12-31,280.0,Somewhat clean,Very safe,Very satisfied,Mr. Todd Caruso
1620,1117,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,2018-12-31,405.0,Somewhat clean,Very safe,Very satisfied,Kevin Pierce
1621,1110,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,2018-12-31,130.0,Clean,Very safe,Very satisfied,Juanita Norris
1622,1915,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,245.0,Somewhat clean,Somewhat safe,Somewhat satsified,Eddie Hannah
1623,1265,Thursday,CATHAY PACIFIC,HONG KONG,Asia,Hub     ,Gates 1-12,2018-12-31,215.0,Somewhat clean,Somewhat safe,Somewhat satsified,Ms. Carl Kaufman
1624,815,Sunday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,2018-12-31,140.0,Average,Neutral,Neutral,Mr. Dustin Shoals
1625,948,Thursday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,2018-12-31,120.0,Somewhat clean,Very safe,Somewhat satsified,Dr. Jason Holliday
1627,1467,Tuesday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,2018-12-31,70.0000000000001,Clean,Very safe,Very satisfied,Willie Petrie
1628,2094,Thursday,AMERICAN,PHILADELPHIA,East US,Large,Gates 50-59,2018-12-31,87.0,Clean,Very safe,Very satisfied,Holly Fox
1631,2754,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,240.0,Somewhat clean,Somewhat safe,Somewhat satsified,Luther Sees
1632,2553,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,120.0,Somewhat clean,Somewhat safe,Somewhat satsified,Harry Garcia
1633,2608,Saturday,AEROMEXICO,MEXICO CITY,Canada/Mexico,Hub,Gates 1-12,2018-12-31,125.0,Average,Somewhat safe,Neutral,Joann Lloyd
1634,3059,Sunday,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,2018-01-01,275.0,Somewhat clean,Somewhat safe,Somewhat satsified,Mr. Casey Rasco
1635,1515,Wednesday,DELTA,LOS ANGELES,West US,    Hub,Gates 40-48,2018-12-31,45.0,Clean,Very safe,Somewhat satsified,Dr. Jeanne Williams
1636,1955,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,155.0,Somewhat clean,Somewhat safe,Somewhat satsified,Yelena Thomas
1637,974,Friday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,2018-12-31,175.0,Somewhat clean,Somewhat safe,Somewhat satsified,Dr. Stephen Sump
1638,527,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,2018-12-31,165.0,Clean,Very safe,Neutral,Mr. Gerald Wall
1639,2619,Saturday,INTERJET,GUADALAJARA,Canada/Mexico,Medium,Gates 1-12,2018-12-31,165.0,Average,Neutral,Very satisfied,Ms. Jennie Morris
1640,437,Sunday,UNITED,HONOLULU,West US,Medium,Gates 70-90,2018-12-31,185.0,Somewhat clean,Very safe,Somewhat satsified,Max Long
1641,271,Thursday,UNITED,LOS ANGELES,West US,    Hub,Gates 70-90,2018-12-31,80.0,Clean,Somewhat safe,Somewhat satsified,George Merritt
1642,2149,Wednesday,AIR CANADA,VANCOUVER,Canada/Mexico,    Medium,Gates 91-102,2018-12-31,84.9999999999999,Clean,Very safe,Very satisfied,Dr. Joseph Farber
1643,755,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,145.0,Clean,Very safe,Very satisfied,Rita Collins
1644,2934,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,2018-12-31,15.0000000000001,Somewhat clean,Very safe,Somewhat satsified,James Tressler
1645,2389,Wednesday,UNITED INTL,BEIJING,Asia,Hub     ,Gates 91-102,2018-12-31,285.0,Clean,Somewhat safe,Somewhat satsified,Nina Bergman
1646,1959,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,2018-12-31,84.9999999999999,Somewhat clean,Very safe,Somewhat satsified,Dr. Eugene Hannan
1647,1796,Sunday,ALASKA,RALEIGH-DURHAM,East US,Medium,Gates 50-59,2018-12-31,145.0,Somewhat clean,Somewhat safe,Somewhat satsified,Dr. Eddie Putnam
1648,2189,Wednesday,AER LINGUS,DUBLIN,eur,    Large,Gates 91-102,2018-12-31,210.0,Somewhat clean,Very safe,Somewhat satsified,Mr. Eldon Contreras
1649,2667,Saturday,AEROMEXICO,MEXICO CITY,Canada/Mexico,Hub,Gates 1-12,2018-12-31,155.0,Clean,Very safe,Neutral,Billy Mullen
1650,1136,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,2018-12-31,70.0000000000001,Average,Somewhat safe,Somewhat satsified,Dr. Christopher Kelly
1651,2098,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,159.0,Clean,Very safe,Somewhat satsified,Dr. Yesenia Barnes
1652,2818,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,2018-12-31,610.0,Clean,Very safe,Somewhat satsified,Timothy Brock
1654,650,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,2018-12-31,120.0,Average,Very safe,Neutral,Ms. Johnnie Wheeler
1655,1032,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,2018-12-31,94.9999999999998,Somewhat clean,Very safe,Neutral,Dr. Gregory Aran
1656,3019,Tuesday,UNITED,PORTLAND,West US,    Medium,Gates 70-90,2018-12-31,362.0,Average,Neutral,Somewhat satsified,Jeanne Humphrey
1657,3029,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,2018-12-31,110.0,Clean,Very safe,Very satisfied,Miss Maryann Rosario
1658,893,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub     ,Gates 91-102,2018-12-31,150.0,Clean,Very safe,Very satisfied,Peter Hallmark
1659,2272,Saturday,UNITED,BAKERSFIELD,West US,    Small,Gates 70-90,2018-12-31,88.0,Somewhat clean,Very safe,Somewhat satsified,Miss Janet Salinas
1660,2009,Friday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,205.0,Clean,Somewhat safe,Neutral,Dr. Delmar Parrish
1661,1443,Wednesday,FRONTIER,DENVER,West US,    Hub,Gates 20-39,2018-01-01,179.0,Clean,Very safe,Very satisfied,Mr. Dean Ayala
1662,1586,Wednesday,UNITED INTL,HONG KONG,Asia,    Hub,Gates 91-102,2018-12-31,240.0,Clean,Very safe,Very satisfied,Miss Geraldine Mayoka
1663,1269,Thursday,CATHAY PACIFIC,HONG KONG,Asia,Hub     ,Gates 1-12,2018-12-31,165.0,Average,Neutral,Somewhat satsified,Miss Antionette Leavitt
1664,733,Thursday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,155.0,Average,Somewhat safe,Neutral,Miss Myrtle Frost
1665,1615,Thursday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,2018-12-31,230.0,Clean,Very safe,Somewhat satsified,Ms. Andrea Whelan
1666,2139,Wednesday,FRONTIER,DENVER,West US,    Hub,Gates 20-39,2018-12-31,153.0,Clean,Neutral,Somewhat satsified,Blanche Sandberg
1667,361,Friday,LUFTHANSA,FRANKFURT,Europe,Hub,Gates 91-102,2018-12-31,145.0,Somewhat clean,Very safe,Somewhat satsified,Jessica Skillman
1668,2034,Wednesday,UNITED,NEWARK,EAST US,Hub     ,Gates 70-90,2018-12-31,90.0,Somewhat clean,Very safe,Somewhat satsified,Jeffery Sleiman
1669,260,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,105.0,Clean,Very safe,Somewhat satsified,Raquel Spradling
1670,3078,Sunday,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,2018-01-01,230.0,Somewhat clean,Neutral,Somewhat satsified,Jason Tolson
1672,1494,Wednesday,HAWAIIAN AIR,HONOLULU,West US,Medium,Gates 1-12,2018-12-31,90.0,Somewhat clean,Very safe,Somewhat satsified,Corina Otey
1673,1809,Sunday,ALASKA,RALEIGH-DURHAM,East US,Medium,Gates 50-59,2018-12-31,70.0000000000001,Somewhat clean,Neutral,Somewhat satsified,Dr. Pamela Siu
1674,2614,Saturday,INTERJET,GUADALAJARA,Canada/Mexico,Medium,Gates 1-12,2018-12-31,165.0,Somewhat clean,Somewhat safe,Somewhat satsified,Francisco Schmidt
